count,Region,destination,amount,year,Key
909,Bay of Plenty,Counties Manukau,87,2017,1
911,Taranaki,Counties Manukau,31,2017,1
914,Manawatu-Wanganui,Counties Manukau,14,2017,1
918,Tasman-Nelson-Marlborough,Counties Manukau,20,2017,1
920,Canterbury,Counties Manukau,56,2017,1
922,Otago,Counties Manukau,0,2017,1
923,Southland,Counties Manukau,24,2017,1
925,Northland,Waikato,54,2017,1
927,Auckland,Waikato,161,2017,1
929,Waikato,Waikato,10815,2017,1
931,Bay of Plenty,Waikato,343,2017,1
933,Taranaki,Waikato,125,2017,1
936,Manawatu-Wanganui,Waikato,38,2017,1
940,Tasman-Nelson-Marlborough,Waikato,22,2017,1
942,Canterbury,Waikato,37,2017,1
944,Otago,Waikato,0,2017,1
945,Southland,Waikato,29,2017,1
947,Northland,Lakes,6,2017,1
949,Auckland,Lakes,24,2017,1
951,Waikato,Lakes,134,2017,1
953,Bay of Plenty,Lakes,115,2017,1
955,Taranaki,Lakes,12,2017,1
958,Manawatu-Wanganui,Lakes,10,2017,1
962,Tasman-Nelson-Marlborough,Lakes,6,2017,1
964,Canterbury,Lakes,6,2017,1
966,Otago,Lakes,0,2017,1
967,Southland,Lakes,14,2017,1
969,Northland,Bay of Plenty,27,2017,1
971,Auckland,Bay of Plenty,70,2017,1
973,Waikato,Bay of Plenty,215,2017,1
975,Bay of Plenty,Bay of Plenty,8720,2017,1
977,Taranaki,Bay of Plenty,10,2017,1
980,Manawatu-Wanganui,Bay of Plenty,12,2017,1
984,Tasman-Nelson-Marlborough,Bay of Plenty,12,2017,1
986,Canterbury,Bay of Plenty,28,2017,1
988,Otago,Bay of Plenty,0,2017,1
989,Southland,Bay of Plenty,15,2017,1
991,Northland,Tairāwhiti,7,2017,1
993,Auckland,Tairāwhiti,15,2017,1
995,Waikato,Tairāwhiti,15,2017,1
997,Bay of Plenty,Tairāwhiti,20,2017,1
999,Taranaki,Tairāwhiti,2,2017,1
1002,Manawatu-Wanganui,Tairāwhiti,2,2017,1
1006,Tasman-Nelson-Marlborough,Tairāwhiti,4,2017,1
1008,Canterbury,Tairāwhiti,7,2017,1
1010,Otago,Tairāwhiti,0,2017,1
1011,Southland,Tairāwhiti,2,2017,1
1013,Northland,Hawke's Bay,18,2017,1
1015,Auckland,Hawke's Bay,30,2017,1
1017,Waikato,Hawke's Bay,51,2017,1
1019,Bay of Plenty,Hawke's Bay,36,2017,1
1021,Taranaki,Hawke's Bay,23,2017,1
1024,Manawatu-Wanganui,Hawke's Bay,23,2017,1
1028,Tasman-Nelson-Marlborough,Hawke's Bay,13,2017,1
1030,Canterbury,Hawke's Bay,20,2017,1
1032,Otago,Hawke's Bay,0,2017,1
1033,Southland,Hawke's Bay,16,2017,1
1035,Northland,Taranaki,4,2017,1
1037,Auckland,Taranaki,19,2017,1
1039,Waikato,Taranaki,34,2017,1
1041,Bay of Plenty,Taranaki,12,2017,1
1043,Taranaki,Taranaki,4482,2017,1
1046,Manawatu-Wanganui,Taranaki,23,2017,1
1050,Tasman-Nelson-Marlborough,Taranaki,9,2017,1
1052,Canterbury,Taranaki,9,2017,1
1054,Otago,Taranaki,0,2017,1
1055,Southland,Taranaki,9,2017,1
1057,Northland,MidCentral,15,2017,1
1059,Auckland,MidCentral,25,2017,1
1061,Waikato,MidCentral,29,2017,1
1063,Bay of Plenty,MidCentral,19,2017,1
1065,Taranaki,MidCentral,30,2017,1
1068,Manawatu-Wanganui,MidCentral,96,2017,1
1072,Tasman-Nelson-Marlborough,MidCentral,14,2017,1
1074,Canterbury,MidCentral,27,2017,1
1076,Otago,MidCentral,0,2017,1
1077,Southland,MidCentral,11,2017,1
1079,Northland,Whanganui,11,2017,1
1081,Auckland,Whanganui,11,2017,1
1083,Waikato,Whanganui,38,2017,1
1085,Bay of Plenty,Whanganui,15,2017,1
1087,Taranaki,Whanganui,45,2017,1
1090,Manawatu-Wanganui,Whanganui,3047,2017,1
1094,Tasman-Nelson-Marlborough,Whanganui,5,2017,1
1096,Canterbury,Whanganui,6,2017,1
1098,Otago,Whanganui,0,2017,1
1099,Southland,Whanganui,9,2017,1
1101,Northland,Capital and Coast,24,2017,1
1103,Auckland,Capital and Coast,111,2017,1
1105,Waikato,Capital and Coast,138,2017,1
1107,Bay of Plenty,Capital and Coast,79,2017,1
1109,Taranaki,Capital and Coast,147,2017,1
1112,Manawatu-Wanganui,Capital and Coast,214,2017,1
1116,Tasman-Nelson-Marlborough,Capital and Coast,65,2017,1
1118,Canterbury,Capital and Coast,92,2017,1
1120,Otago,Capital and Coast,0,2017,1
1121,Southland,Capital and Coast,64,2017,1
1123,Northland,Hutt Valley,6,2017,1
1125,Auckland,Hutt Valley,7,2017,1
1127,Waikato,Hutt Valley,15,2017,1
1129,Bay of Plenty,Hutt Valley,8,2017,1
1131,Taranaki,Hutt Valley,6,2017,1
1134,Manawatu-Wanganui,Hutt Valley,9,2017,1
1138,Tasman-Nelson-Marlborough,Hutt Valley,14,2017,1
1140,Canterbury,Hutt Valley,3,2017,1
1142,Otago,Hutt Valley,0,2017,1
1143,Southland,Hutt Valley,10,2017,1
1145,Northland,Wairarapa,3,2017,1
1147,Auckland,Wairarapa,2,2017,1
1149,Waikato,Wairarapa,4,2017,1
1151,Bay of Plenty,Wairarapa,1,2017,1
1153,Taranaki,Wairarapa,4,2017,1
1156,Manawatu-Wanganui,Wairarapa,1,2017,1
1160,Tasman-Nelson-Marlborough,Wairarapa,2,2017,1
1162,Canterbury,Wairarapa,5,2017,1
1164,Otago,Wairarapa,0,2017,1
1165,Southland,Wairarapa,2,2017,1
1167,Northland,Nelson Marlborough,10,2017,1
1169,Auckland,Nelson Marlborough,20,2017,1
1171,Waikato,Nelson Marlborough,21,2017,1
1173,Bay of Plenty,Nelson Marlborough,13,2017,1
1175,Taranaki,Nelson Marlborough,12,2017,1
1178,Manawatu-Wanganui,Nelson Marlborough,6,2017,1
1182,Tasman-Nelson-Marlborough,Nelson Marlborough,5430,2017,1
1184,Canterbury,Nelson Marlborough,188,2017,1
1186,Otago,Nelson Marlborough,0,2017,1
1187,Southland,Nelson Marlborough,55,2017,1
1189,Northland,West Coast,1,2017,1
1191,Auckland,West Coast,4,2017,1
1193,Waikato,West Coast,3,2017,1
1195,Bay of Plenty,West Coast,1,2017,1
1197,Taranaki,West Coast,2,2017,1
1200,Manawatu-Wanganui,West Coast,1,2017,1
1204,Tasman-Nelson-Marlborough,West Coast,55,2017,1
1206,Canterbury,West Coast,85,2017,1
1208,Otago,West Coast,0,2017,1
1209,Southland,West Coast,29,2017,1
1211,Northland,Canterbury,19,2017,1
1213,Auckland,Canterbury,56,2017,1
1215,Waikato,Canterbury,48,2017,1
