Measure,,,Average Wage and Salary Income,,Average Self-employment Income,,Average Government Transfer Income,,Average Income from All Sources collected,,Median Wage and Salary Income,,Median Self-employment Income,,Median Government Transfer Income,,Median Income from All Sources collected,,Number of households (000),
Year,Region,,,,,,,,,,,,,,,,,,,
,  Gisborne/Hawkes Bay Regions,,,988,,171,,156,,1307,,900,,0,,0,,1170,,64.3
,  Taranaki Region,,,1102,,287,,111,,1497,,972,,0,,0,,1282,,37.1
,  Manawatu-Wanganui Region,,,951,,128,,149,,1224,,834,,0,,0,,1074,,77.9
,  Wellington Region,,,1286,,236,,130,,1647,,1067,,0,,0,,1406,,162.6
,  Tasman/Nelson/Marlborough/West Coast Regions,,,1029,,198,,125,,1350,,907,,0,,0,,1210,,56.7
,  Canterbury Region,,,1075,,175,,125,,1374,,955,,0,,0,,1247,,190.7
,  Otago Region,,,1048,,130,,119,,1295,,959,,0,,0,,1145,,72.6
,  Southland Region,,,1054,,264,,104,,1428,,910,,0,,0,,1203,,32.7
2013,Total Regions,,,1215,,187,,134,,1534,,1026,,0,,0,,1318,,1442
,  Northland Region,,,814,,209,,206,,1222,,603,,0,,100,,1020,,52.5
,  Auckland Region,,,1321,,197,,147,,1661,,1112,,0,,0,,1406,,473.3
,  Waikato Region,,,1110,,181,,138,,1428,,921,,0,,0,,1244,,136.3
,  Bay of Plenty Region,,,1056,,198,,139,,1386,,863,,0,,0,,1238,,85.2
,  Gisborne/Hawkes Bay Regions,,,984,,106,,166,,1257,,879,,0,,0,,1129,,65
,  Taranaki Region,,,1228,,183,,112,,1526,,1096,,0,,0,,1343,,37
,  Manawatu-Wanganui Region,,,946,,131,,158,,1234,,800,,0,,0,,1083,,77.1
,  Wellington Region,,,1422,,198,,110,,1725,,1247,,0,,0,,1477,,167.7
,  Tasman/Nelson/Marlborough/West Coast Regions,,,1078,,169,,114,,1357,,959,,0,,0,,1206,,57.5
,  Canterbury Region,,,1282,,219,,106,,1605,,1120,,0,,0,,1350,,187.4
,  Otago Region,,,1170,,162,,103,,1434,,1024,,0,,0,,1305,,70.6
,  Southland Region,,,1155,,167,,109,,1428,,1080,,0,,0,,1330,,32.4
2014,Total Regions,,,1301,,209,,124,,1633,,1089,,0,,0,,1378,,1454.1
,  Northland Region,,,926,,194,,169,,1284,,700,,0,,0,,1043,,53.6
,  Auckland Region,,,1429,,209,,128,,1766,,1178,,0,,0,,1458,,482.7
,  Waikato Region,,,1047,,231,,136,,1414,,940,,0,,0,,1211,,143.5
,  Bay of Plenty Region,,,1070,,203,,140,,1415,,921,,0,,0,,1223,,87.5
,  Gisborne/Hawkes Bay Regions,,,1040,,137,,144,,1320,,940,,0,,0,,1152,,64.5
,  Taranaki Region,,,1272,,260,,102,,1632,,1062,,0,,0,,1419,,36.8
