Region,destination,amount,year
Manawatu-Wanganui,Tairāwhiti,3,2018
Tasman-Nelson-Marlborough,Tairāwhiti,3,2018
Canterbury,Tairāwhiti,4,2018
Otago,Tairāwhiti,0,2018
Southland,Tairāwhiti,5,2018
Northland,Hawke's Bay,13,2018
Auckland,Hawke's Bay,46,2018
Waikato,Hawke's Bay,47,2018
Bay of Plenty,Hawke's Bay,44,2018
Taranaki,Hawke's Bay,16,2018
Manawatu-Wanganui,Hawke's Bay,22,2018
Tasman-Nelson-Marlborough,Hawke's Bay,15,2018
Canterbury,Hawke's Bay,27,2018
Otago,Hawke's Bay,0,2018
Southland,Hawke's Bay,12,2018
Northland,Taranaki,10,2018
Auckland,Taranaki,19,2018
Waikato,Taranaki,32,2018
Bay of Plenty,Taranaki,10,2018
Taranaki,Taranaki,4624,2018
Manawatu-Wanganui,Taranaki,18,2018
Tasman-Nelson-Marlborough,Taranaki,9,2018
Canterbury,Taranaki,11,2018
Otago,Taranaki,0,2018
Southland,Taranaki,7,2018
Northland,MidCentral,8,2018
Auckland,MidCentral,19,2018
Waikato,MidCentral,26,2018
Bay of Plenty,MidCentral,18,2018
Taranaki,MidCentral,27,2018
Manawatu-Wanganui,MidCentral,85,2018
Tasman-Nelson-Marlborough,MidCentral,9,2018
Canterbury,MidCentral,15,2018
Otago,MidCentral,0,2018
Southland,MidCentral,11,2018
Northland,Whanganui,2,2018
Auckland,Whanganui,10,2018
Waikato,Whanganui,23,2018
Bay of Plenty,Whanganui,10,2018
Taranaki,Whanganui,45,2018
Manawatu-Wanganui,Whanganui,3106,2018
Tasman-Nelson-Marlborough,Whanganui,5,2018
Canterbury,Whanganui,9,2018
Otago,Whanganui,0,2018
Southland,Whanganui,3,2018
Northland,Capital and Coast,29,2018
Auckland,Capital and Coast,99,2018
Waikato,Capital and Coast,120,2018
Bay of Plenty,Capital and Coast,68,2018
Taranaki,Capital and Coast,141,2018
Manawatu-Wanganui,Capital and Coast,218,2018
Tasman-Nelson-Marlborough,Capital and Coast,58,2018
Canterbury,Capital and Coast,71,2018
Otago,Capital and Coast,0,2018
Southland,Capital and Coast,57,2018
Northland,Hutt Valley,6,2018
Auckland,Hutt Valley,11,2018
Waikato,Hutt Valley,13,2018
Bay of Plenty,Hutt Valley,7,2018
Taranaki,Hutt Valley,7,2018
Manawatu-Wanganui,Hutt Valley,10,2018
Tasman-Nelson-Marlborough,Hutt Valley,9,2018
Canterbury,Hutt Valley,10,2018
Otago,Hutt Valley,0,2018
Southland,Hutt Valley,7,2018
Northland,Wairarapa,1,2018
Auckland,Wairarapa,1,2018
Waikato,Wairarapa,1,2018
Bay of Plenty,Wairarapa,4,2018
Taranaki,Wairarapa,3,2018
Manawatu-Wanganui,Wairarapa,2,2018
Tasman-Nelson-Marlborough,Wairarapa,2,2018
Canterbury,Wairarapa,2,2018
Otago,Wairarapa,0,2018
Southland,Wairarapa,2,2018
Northland,Nelson Marlborough,10,2018
Auckland,Nelson Marlborough,19,2018
Waikato,Nelson Marlborough,19,2018
Bay of Plenty,Nelson Marlborough,12,2018
Taranaki,Nelson Marlborough,8,2018
Manawatu-Wanganui,Nelson Marlborough,3,2018
Tasman-Nelson-Marlborough,Nelson Marlborough,5410,2018
Canterbury,Nelson Marlborough,142,2018
Otago,Nelson Marlborough,0,2018
Southland,Nelson Marlborough,47,2018
Northland,West Coast,5,2018
Auckland,West Coast,1,2018
Waikato,West Coast,5,2018
Bay of Plenty,West Coast,2,2018
Taranaki,West Coast,1,2018
Manawatu-Wanganui,West Coast,1,2018
